Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/benchmark/parse-100k-blog-rows.js createPacketBuffer 27 4 183
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 430 46 905 =======> 0.505499064922
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js _handleProtocolHandshake 435 48 907 =======> 0.290631711483
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js _handleProtocolInitialize 439 49 908 =======> 0.437611669302
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 443 42 910 =======> 0.540252685547
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js _handleProtocolEnqueue 448 46 912 =======> 0.692487061024
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 452 37 915 =======> 0.934240520000
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js createSecureContext 458 0 919 =======> 0.722450971603
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js unwrapFromDomain 479 0 930 =======> 0.572224676609
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 480 9 934 =======> 0.621558547020
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js wrapCallbackInDomain 501 0 956 =======> 0.920002222061
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js wrapToDomain 521 0 972 =======> 0.869171142578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/Connection.js nan 522 9 974 =======> 0.665178120136
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js ConnectionConfig 7 0 997 =======> 0.656623363495
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js mergeFlags 66 30 1053 =======> 0.792708754539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getCharsetNumber 89 36 1071 =======> 0.851145744324
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getDefaultFlags 99 35 1081 =======> 0.625476598740
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js getSSLProfile 133 33 1091 =======> 0.701092243195
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js parseFlagList 147 33 1101 =======> 0.841726303101
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/ConnectionConfig.js nan 179 28 1136 =======> 0.736228883266
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js Protocol 10 0 2943 =======> 0.333380788565
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js nan 37 27 2977 =======> 0.722333908081
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js handshake 42 31 2982 =======> 0.634467601776
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js query 58 27 2996 =======> 0.518992960453
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js changeUser 62 32 3002 =======> 0.572052359581
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js ping 66 26 3008 =======> 0.665377676487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/mysql/lib/protocol/Protocol.js stats 75 27 3017 =======> 0.630315840244
